05.12.2019 14:12:320	2016 ms	Event	BKN230-24-MOD-BAC	v 22.2.0.20
05.12.2019 16:27:43	8178418 ms	Info	Input	Input OPEN changed to 0
05.12.2019 16:27:56	8191543 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 16:30:48	8364190 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 16:30:48	8364235 ms	Event	controller	Output changed to 1
05.12.2019 16:30:55	8371469 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 16:31:38	8415512 ms	Info	Input	Input OPEN changed to 1
05.12.2019 16:33:55	8552727 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 16:33:55	8552735 ms	Event	controller	Output changed to 0
05.12.2019 16:33:57	8555306 ms	Info	Input	Input OPEN changed to 0
05.12.2019 16:34:10	8568432 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 16:37:02	8741302 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 16:37:02	8741323 ms	Event	controller	Output changed to 1
05.12.2019 16:37:09	8748581 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 16:37:53	8792625 ms	Info	Input	Input OPEN changed to 1
05.12.2019 16:40:09	8929806 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 16:40:09	8929824 ms	Event	controller	Output changed to 0
05.12.2019 16:40:11	8932390 ms	Info	Input	Input OPEN changed to 0
05.12.2019 16:40:24	8945515 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 16:43:16	9118288 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 16:43:16	9118312 ms	Event	controller	Output changed to 1
05.12.2019 16:43:23	9125579 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 16:44:06	9169623 ms	Info	Input	Input OPEN changed to 1
05.12.2019 16:46:23	9306775 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 16:46:23	9306812 ms	Event	controller	Output changed to 0
05.12.2019 16:46:25	9309383 ms	Info	Input	Input OPEN changed to 0
05.12.2019 16:46:38	9322504 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 16:49:30	9495254 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 16:49:30	9495299 ms	Event	controller	Output changed to 1
05.12.2019 16:49:37	9502563 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 16:50:20	9546606 ms	Info	Input	Input OPEN changed to 1
05.12.2019 16:52:36	9683746 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 16:52:37	9683800 ms	Event	controller	Output changed to 0
05.12.2019 16:52:39	9686369 ms	Info	Input	Input OPEN changed to 0
05.12.2019 16:52:52	9699494 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 16:55:43	9872266 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 16:55:44	9872286 ms	Event	controller	Output changed to 1
05.12.2019 16:55:51	9879548 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 16:56:34	9923589 ms	Info	Input	Input OPEN changed to 1
05.12.2019 16:58:51	10060804 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 16:58:51	10060886 ms	Event	controller	Output changed to 0
05.12.2019 16:58:53	10063458 ms	Info	Input	Input OPEN changed to 0
05.12.2019 16:59:06	10076579 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 17:01:57	10249281 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 17:01:58	10249370 ms	Event	controller	Output changed to 1
05.12.2019 17:02:05	10256637 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 17:02:48	10300680 ms	Info	Input	Input OPEN changed to 1
05.12.2019 17:05:05	10437962 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 17:05:05	10437970 ms	Event	controller	Output changed to 0
05.12.2019 17:05:07	10440543 ms	Info	Input	Input OPEN changed to 0
05.12.2019 17:05:20	10453664 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 17:08:12	10627289 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 17:08:13	10627356 ms	Event	controller	Output changed to 1
05.12.2019 17:08:20	10634620 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 17:09:03	10678663 ms	Info	Input	Input OPEN changed to 1
05.12.2019 17:11:20	10815888 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 17:11:20	10815957 ms	Event	controller	Output changed to 0
05.12.2019 17:11:22	10818528 ms	Info	Input	Input OPEN changed to 0
05.12.2019 17:11:35	10831658 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 17:14:26	11004349 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 17:14:27	11004445 ms	Event	controller	Output changed to 1
05.12.2019 17:14:34	11011699 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 17:15:17	11055742 ms	Info	Input	Input OPEN changed to 1
05.12.2019 17:17:33	11192863 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 17:17:34	11192946 ms	Event	controller	Output changed to 0
05.12.2019 17:17:36	11195512 ms	Info	Input	Input OPEN changed to 0
05.12.2019 17:17:49	11208634 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 17:20:41	11381414 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 17:20:41	11381430 ms	Event	controller	Output changed to 1
05.12.2019 17:20:48	11388689 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 17:21:31	11432734 ms	Info	Input	Input OPEN changed to 1
05.12.2019 17:23:47	11569868 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 17:23:48	11569930 ms	Event	controller	Output changed to 0
05.12.2019 17:23:50	11572501 ms	Info	Input	Input OPEN changed to 0
05.12.2019 17:24:03	11585626 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 17:26:55	11758452 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 17:26:55	11758518 ms	Event	controller	Output changed to 1
05.12.2019 17:27:02	11765781 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 17:27:46	11809824 ms	Info	Input	Input OPEN changed to 1
05.12.2019 17:30:01	11946866 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 17:30:02	11946918 ms	Event	controller	Output changed to 0
05.12.2019 17:30:04	11949494 ms	Info	Input	Input OPEN changed to 0
05.12.2019 17:30:17	11962617 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 17:33:08	12135390 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 17:33:08	12135403 ms	Event	controller	Output changed to 1
05.12.2019 17:33:16	12142662 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 17:33:59	12186705 ms	Info	Input	Input OPEN changed to 1
05.12.2019 17:36:15	12323936 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 17:36:16	12324005 ms	Event	controller	Output changed to 0
05.12.2019 17:36:18	12326576 ms	Info	Input	Input OPEN changed to 0
05.12.2019 17:36:31	12339698 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 17:39:22	12512435 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 17:39:23	12512490 ms	Event	controller	Output changed to 1
05.12.2019 17:39:30	12519722 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 17:40:13	12563763 ms	Info	Input	Input OPEN changed to 1
05.12.2019 17:42:29	12700945 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 17:42:30	12700988 ms	Event	controller	Output changed to 0
05.12.2019 17:42:32	12703553 ms	Info	Input	Input OPEN changed to 0
05.12.2019 17:42:45	12716676 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 17:45:37	12889490 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 17:45:37	12889572 ms	Event	controller	Output changed to 1
05.12.2019 17:45:45	12898352 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 17:46:29	12942394 ms	Info	Input	Input OPEN changed to 1
05.12.2019 17:48:43	13077932 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 17:48:43	13077972 ms	Event	controller	Output changed to 0
05.12.2019 17:48:46	13080539 ms	Info	Input	Input OPEN changed to 0
05.12.2019 17:48:59	13093666 ms	Info	Input	Input CLOSED changed to 1
